取引日,銘柄コード,銘柄名,規制,最高料率 臨時倍率,逆日歩(円),逆日歩(%),年率(%),最高料率(円),超過株数,貸借値段(円),品貸日数,日証金 買新規,日証金 買返済,日証金 買残高,日証金 売新規,日証金 売返済,日証金 売残高,日証金 差引残高,差引残高 出来高比(%),差引残高 前日比,前日比 出来高比(%),回転日数,貸借倍率,東証 出来高,東証 売買代金(円)
2020-12-28,7800,アミファ,,,,,,,,659,,0,0,900,0,0,0,900,6.29,0,0,10.0,,14300,9471700
2020-12-28,7803,ブシロード,,,0,0,0,4.4,74000,2163,5,10500,500,94500,0,1400,168500,-74000,-31.71,11400,4.88,36.0,0.56,233400,503363700
2020-12-28,7804,ビーアンドピー,,,,,,,,1056,,0,0,1300,0,0,0,1300,19.70,0,0,18.3,,6600,7187400
2020-12-28,7805,プリントネット,,,,,,,,415,,900,0,1100,0,0,0,1100,13.75,900,11.25,3.9,,8000,3426500
2020-12-28,7806,ＭＴＧ,,,,,,,,1112,,7700,0,102700,0,0,0,102700,62.47,7700,4.68,38.5,,164400,183824800
2020-12-28,7807,幸和製作所,,,,,,,,825,,0,0,1800,0,0,0,1800,10.71,0,0,,,16800,13926700
2020-12-28,7808,ＣＳランバー,,,,,,,,1583,,100,2100,2900,0,0,0,2900,85.29,-2000,-58.82,8.4,,3400,5372700
2020-12-28,7809,壽屋,,,,,,,,1773,,0,0,3800,0,0,0,3800,74.51,0,0,376.0,,5100,9111000
2020-12-28,7810,クロスフォー,,,,,,,,222,,0,500,25400,2300,200,8900,16500,27.18,-2600,-4.28,2.5,2.85,60700,13499000
2020-12-28,7811,中本パックス,,,,,,,,1599,,1000,0,2100,0,0,0,2100,20.79,1000,9.90,10.5,,10100,16178700
