権利付最終日,銘柄コード,銘柄名,市場,貸借,始値,始値/前日終値,前日出来高,時価総額,発行株数,PER,PBR,単位,逆日歩_料率,逆日歩_日数,日証金_当日買い残高,日証金_当日買い新規,日証金_当日売り残高,日証金_当日売り新規,日証金_当日残高倍率,日証金_前日買い残高,日証金_前日買い新規,日証金_前日売り残高,日証金_前日売り新規,日証金_前日残高倍率,逆日歩確報
2013-02-25,2930,北の達人コーポレーション,東1,制度,21.0,0.9523809523809524,292800.0,2617640000.0,124649523.8095238,16.41,4.74,100,0.0,1,,,,,,,,,,,0.0
2013-02-25,3030,ハブ,東1,制度,299.0,0.9966555183946488,40500.0,3353720000.0,11216454.849498328,9.38,1.56,100,0.0,1,,,,,,,,,,,0.0
2013-02-25,3048,ビックカメラ,東1,貸借,461.0,1.0065075921908897,482500.0,79454540000.0,172352581.34490243,32.62,1.06,100,55.0,1,6300.0,3000.0,635200.0,59800.0,0.01,9300.0,0.0,577400.0,115700.0,0.02,55.0
2013-02-25,3050,ＤＣＭホールディングス,東1,貸借,635.0,0.9968503937007874,436800.0,94988830000.0,149588708.66141734,8.98,0.65,100,0.05,1,101800.0,0.0,270400.0,265400.0,0.38,114600.0,6300.0,5000.0,100.0,22.92,0.05
2013-02-25,3057,ゼットン,名セ,非制度,621.0,0.9983896940418678,7300.0,2619310000.0,4217890.499194847,17.48,3.0,100,0.0,1,,,,,,,,,,,0.0
2013-02-25,3063,ジェイグループホールディングス,東M,貸借,452.0,0.991150442477876,15600.0,3033280000.0,6710796.460176991,122.58,1.87,100,0.0,1,2600.0,0.0,0.0,0.0,-1.0,3000.0,0.0,0.0,0.0,-1.0,0.0
2013-02-25,3065,ライフフーズ,JQS,制度,1035.0,0.9951690821256038,800.0,3788510000.0,3660396.1352657005,28.27,1.12,100,0.0,1,,,,,,,,,,,0.0
2013-02-25,3073,ＤＤホールディングス,東1,制度,242.0,1.008264462809917,81600.0,3511900000.0,14511983.47107438,45.13,1.23,100,0.0,1,,,,,,,,,,,0.0
2013-02-25,3086,Ｊ．フロント　リテイリング,東1,貸借,1116.0,0.9874551971326164,1220500.0,299220980000.0,268119157.7060932,24.56,0.88,100,0.05,1,10000.0,9500.0,390500.0,270500.0,0.03,11500.0,2500.0,123500.0,34500.0,0.09,0.05
2013-02-25,3087,ドトール・日レスホールディングス,東1,貸借,1284.0,0.9898753894080996,201900.0,64982930000.0,50609758.56697819,18.06,0.76,100,0.55,1,0.0,0.0,376300.0,323800.0,0.0,1800.0,0.0,54500.0,31200.0,0.03,0.55
2013-02-25,3093,トレジャー・ファクトリー,東1,貸借,265.0,1.0,26800.0,2930470000.0,11058377.358490566,7.89,1.42,100,0.0,1,20000.0,7600.0,0.0,0.0,-1.0,16200.0,0.0,0.0,0.0,-1.0,0.0
2013-02-25,3141,ウエルシアホールディングス,東1,貸借,546.0,0.9413919413919414,958400.0,81077000000.0,148492673.992674,10.57,1.68,100,0.0,1,15200.0,1800.0,19200.0,2000.0,0.79,16800.0,5600.0,19000.0,2000.0,0.88,0.0
2013-02-25,3174,ハピネス・アンド・ディ,JQS,制度,933.0,0.9914255091103966,17000.0,2360490000.0,2530000.0,7.86,1.19,100,0.0,1,,,,,,,,,,,0.0
2013-02-25,3198,ＳＦＰホールディングス,東1,制度,,,,,,,,100,0.0,1,,,,,,,,,,,0.0
